order,id,date,time,title,url,visitCount,typedCount,transition
0,72272,11/18/2020,20:50:27,Export Chrome History - Chrome Web Store,https://chrome.google.com/webstore/detail/export-chrome-history/dihloblpkeiddiaojbagoecedbfpifdj/related?hl=en,1,0,link
1,72271,11/18/2020,20:49:06,Export Chrome History - Chrome Web Store,https://chrome.google.com/webstore/detail/export-chrome-history/dihloblpkeiddiaojbagoecedbfpifdj?hl=en,1,0,link
2,72270,11/18/2020,20:48:59,export browser history chrome to csv - Google Search,https://www.google.com/search?q=export+browser+history+chrome+to+csv&oq=export+browser+history+chrome+to+csv&aqs=chrome..69i57.5184j1j7&sourceid=chrome&ie=UTF-8,1,0,generated
3,68838,11/18/2020,20:45:10,Home,https://www.infragard.org/,2,0,link
4,72174,11/18/2020,20:43:29,Secret Service announces the creation of the Cyber Fraud Task Force,https://www.secretservice.gov/investigation/cftf/,3,0,link
5,72266,11/18/2020,20:43:28,Opportunities,https://www.secretservice.gov/join/opportunities/,2,0,link
6,72267,11/18/2020,20:43:28,United States Secret Service,https://www.secretservice.gov/,2,0,link
7,72269,11/18/2020,20:43:14,Apply,https://www.secretservice.gov/join/apply/,1,0,link
8,72267,11/18/2020,20:42:58,United States Secret Service,https://www.secretservice.gov/,2,0,link
